,title,href,company,compensation1,compensation2,money_type,source
120,Программист Full-stack,https://www.superjob.ru/vakansii/programmist-full-stack-32485752.html,Государственное учреждение сектора гос. управления,,,,superjob.ru
121,Программист (classic ASP),https://www.superjob.ru/vakansii/programmist-32645563.html,,70000,,руб,superjob.ru
122,Программист 1С Битрикс,https://www.superjob.ru/vakansii/programmist-1s-bitriks-32843639.html,Планета Сантехники,,,,superjob.ru
123,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32641338.html,Дортрансстрой,120000,150000,руб,superjob.ru
124,Программист PHP,https://www.superjob.ru/vakansii/programmist-php-32689207.html,ФИЛАНКО,100000,,руб,superjob.ru
125,Программист PL/SQL,https://www.superjob.ru/vakansii/programmist-pl-32261500.html,Межрегиональная инспекция ФНС России по камеральному контролю,50000,80000,руб,superjob.ru
126,Программист,https://www.superjob.ru/vakansii/programmist-32638293.html,Дайога,,,,superjob.ru
127,Программист баз данных,https://www.superjob.ru/vakansii/programmist-baz-dannyh-32643633.html,Киномакс,,,,superjob.ru
128,Программист 1С / Ведущий программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32637540.html,Инокспоинт Групп,100000,110000,руб,superjob.ru
129,Инженер-программист АСУТП (ПЛК),https://www.superjob.ru/vakansii/inzhener-programmist-asutp-32635276.html,НПО Экосистема,70000,,руб,superjob.ru
